COD_ESTABELECIMENTO,COD_MCC,NOME_ESTABELECIMENTO,CIDADE_ESTABELECIMENTO,TRANSACAO_COM_CHIP,FREQ_TRANSACAO,MCC_CODE,MCC_DESCRIPTION,NOME_MCC,COD_CATEGORIA
9580257475,7011,HOTEL LUZERNERHOF AG,LUZERN,S,1,7011.0,"HOTEIS, POUSADAS, ETC","HOTEL LUZERNERHOF AG HOTEIS, POUSADAS, ETC",0
9522794981,7011,MERCURE PARMA STENDHAL,PARMA,N,1,7011.0,"HOTEIS, POUSADAS, ETC","MERCURE PARMA STENDHAL HOTEIS, POUSADAS, ETC",0
139597,7011,ALPINO HOTEL,BARRIO NORTE,N,4,7011.0,"HOTEIS, POUSADAS, ETC","ALPINO HOTEL HOTEIS, POUSADAS, ETC",0
8704380807,7011,MAX SAVASSI APART,BELO HORIZONT,S,31,7011.0,"HOTEIS, POUSADAS, ETC","MAX SAVASSI APART HOTEIS, POUSADAS, ETC",0
304548400008002,7011,HOTEL SAVOIA & JOLAND 332,VENEZIA,N,1,7011.0,"HOTEIS, POUSADAS, ETC","HOTEL SAVOIA & JOLAND 332 HOTEIS, POUSADAS, ETC",0
151635194,7011,HOTEL CERVO ZERMATT,ZERMATT,N,1,7011.0,"HOTEIS, POUSADAS, ETC","HOTEL CERVO ZERMATT HOTEIS, POUSADAS, ETC",0
2622971,7011,POUSADA DOS SONHOS,FLORIANOPOLIS,N,24,7011.0,"HOTEIS, POUSADAS, ETC","POUSADA DOS SONHOS HOTEIS, POUSADAS, ETC",0
8731372389,7011,COMFORT SUITES OSCAR F,SAO PAULO,S,38,7011.0,"HOTEIS, POUSADAS, ETC","COMFORT SUITES OSCAR F HOTEIS, POUSADAS, ETC",0
75120878000108,7011,TAJ LAKE PALACE FO-GPR,UDAIPUR,N,1,7011.0,"HOTEIS, POUSADAS, ETC","TAJ LAKE PALACE FO-GPR HOTEIS, POUSADAS, ETC",0
8671457257,7011,MARCIO SOSSIO POUSADA ME,SANTO ANTONIO,S,1,7011.0,"HOTEIS, POUSADAS, ETC","MARCIO SOSSIO POUSADA ME HOTEIS, POUSADAS, ETC",0
486217,7011,VICTORY BUSINESS HOTEL,JUIZ DE FORA,N,18,7011.0,"HOTEIS, POUSADAS, ETC","VICTORY BUSINESS HOTEL HOTEIS, POUSADAS, ETC",0
21-8032226238,3816,HOMES TO SUITES BY HILTON,850-6503500,N,1,3816.0,HOME2 SUITES BY HILTON,HOMES TO SUITES BY HILTON HOME2 SUITES BY HILTON,0
4562231816,7011,TERRA MATER HOTEL,PORTO SEGURO,S,1,7011.0,"HOTEIS, POUSADAS, ETC","TERRA MATER HOTEL HOTEIS, POUSADAS, ETC",0
9508493541,7011,RHEINISCHER HOF,BAD SODEN,S,1,7011.0,"HOTEIS, POUSADAS, ETC","RHEINISCHER HOF HOTEIS, POUSADAS, ETC",0
9919134809,7011,POUSADA R FALCOES,NOVA FRIBURGO,S,1,7011.0,"HOTEIS, POUSADAS, ETC","POUSADA R FALCOES HOTEIS, POUSADAS, ETC",0
3349810,7011,HOTEL COLON PALACE,JOINVILLE,S,7,7011.0,"HOTEIS, POUSADAS, ETC","HOTEL COLON PALACE HOTEIS, POUSADAS, ETC",0
9830355517,7011,IBIS TOKYO SHINJUKU -SHIN, ,S,1,7011.0,"HOTEIS, POUSADAS, ETC","IBIS TOKYO SHINJUKU -SHIN HOTEIS, POUSADAS, ETC",0
2116090,7011,POUSADA CASABLANCA,ABRAAO,S,12,7011.0,"HOTEIS, POUSADAS, ETC","POUSADA CASABLANCA HOTEIS, POUSADAS, ETC",0
48614360,7011,HOTEL TADINI,STA R SAPUCAI,N,2,7011.0,"HOTEIS, POUSADAS, ETC","HOTEL TADINI HOTEIS, POUSADAS, ETC",0
67820,7011,HOTEL DO PARQUE,BRAGA,N,1,7011.0,"HOTEIS, POUSADAS, ETC","HOTEL DO PARQUE HOTEIS, POUSADAS, ETC",0
1097939810,7011,J P NAVARRO POUSADA,ILHA GRANDE,N,2,7011.0,"HOTEIS, POUSADAS, ETC","J P NAVARRO POUSADA HOTEIS, POUSADAS, ETC",0
1005160152,7011,HOTEL PORTAL DA AMAZON,VARZEA GRANDE,S,1,7011.0,"HOTEIS, POUSADAS, ETC","HOTEL PORTAL DA AMAZON HOTEIS, POUSADAS, ETC",0
8709900880,7011,POUSADA DAS PAPOU,GRAMADO,N,3,7011.0,"HOTEIS, POUSADAS, ETC","POUSADA DAS PAPOU HOTEIS, POUSADAS, ETC",0
1098600604,7011,POSH SOUTH BEACH HOSTEL 0,MIAMI BEACH,S,1,7011.0,"HOTEIS, POUSADAS, ETC","POSH SOUTH BEACH HOSTEL 0 HOTEIS, POUSADAS, ETC",0
8737762591,7011,KALUFF HOTEL,ITABORAI,S,1,7011.0,"HOTEIS, POUSADAS, ETC","KALUFF HOTEL HOTEIS, POUSADAS, ETC",0
1026773501,3533,FLEX HOTELARIA,FLORIANOPOLIS,N,47,3533.0,HOTEL IBIS,FLEX HOTELARIA HOTEL IBIS,0
9420207185,7011,TONY'S HOUSE HOTEL LTD 30,LONDON,S,1,7011.0,"HOTEIS, POUSADAS, ETC","TONY'S HOUSE HOTEL LTD 30 HOTEIS, POUSADAS, ETC",0
535354060123205,7011,ABAE HOTEL,MIAMI BEACH,N,1,7011.0,"HOTEIS, POUSADAS, ETC","ABAE HOTEL HOTEIS, POUSADAS, ETC",0
