COD_ESTABELECIMENTO,COD_MCC,NOME_ESTABELECIMENTO,CIDADE_ESTABELECIMENTO,TRANSACAO_COM_CHIP,FREQ_TRANSACAO,MCC_CODE,MCC_DESCRIPTION,NOME_MCC,COD_CATEGORIA,CATEGORIA
106701100650,7011,ANA MADARA RESORT_NT,NHA TRANG,N,1,7011.0,"HOTEIS, POUSADAS, ETC","ANA MADARA RESORT_NT HOTEIS, POUSADAS, ETC",0,Hotel
1007736175,5812,RINKAO HOTEL E RESTAUR,CACHOEIRO DE,S,8,5812.0,RESTAURANTES,RINKAO HOTEL E RESTAUR RESTAURANTES,0,Hotel
14794,7011,PLAZA EMPREENDIMENTOS,NACALA PORTO,N,26,7011.0,"HOTEIS, POUSADAS, ETC","PLAZA EMPREENDIMENTOS HOTEIS, POUSADAS, ETC",0,Hotel
17630177,7011,HOTEL ATLANTICO,PUNTA DEL EST,N,7,7011.0,"HOTEIS, POUSADAS, ETC","HOTEL ATLANTICO HOTEIS, POUSADAS, ETC",0,Hotel
1061166713,7011,ECOVILLA,IPOJUCA,S,11,7011.0,"HOTEIS, POUSADAS, ETC","ECOVILLA HOTEIS, POUSADAS, ETC",0,Hotel
100050464000000,5499,QUIOSQUE AREIA SEREIA,UBATUBA,N,1,5499.0,ACOUGUE MERC FRUTOS DO MAR ALIM VA,QUIOSQUE AREIA SEREIA ACOUGUE MERC FRUTOS DO MAR ALIM VA,0,Hotel
39057170136,7011,IBEROSTAR PUNTA CANA R,HIGUEY,N,1,7011.0,"HOTEIS, POUSADAS, ETC","IBEROSTAR PUNTA CANA R HOTEIS, POUSADAS, ETC",0,Hotel
15769086,7011,HOTEL CASA INDIA CATAL,1300100 C/GEN,N,1,7011.0,"HOTEIS, POUSADAS, ETC","HOTEL CASA INDIA CATAL HOTEIS, POUSADAS, ETC",0,Hotel
1022872076,7011,POUSADA ONDAS DE ITAUN,SAQUAREMA,S,1,7011.0,"HOTEIS, POUSADAS, ETC","POUSADA ONDAS DE ITAUN HOTEIS, POUSADAS, ETC",0,Hotel
971659156,3503,SHERATON SEOUL D CUBE,SEOUL,S,1,3503.0,HOTEL SHERATON,SHERATON SEOUL D CUBE HOTEL SHERATON,0,Hotel
75130936800088,7011,SHERATON BAYWATCH,NEW DELHI,S,1,7011.0,"HOTEIS, POUSADAS, ETC","SHERATON BAYWATCH HOTEIS, POUSADAS, ETC",0,Hotel
1033918447,7011,REPLAY MOTELARIA,GUARULHOS,S,1,7011.0,"HOTEIS, POUSADAS, ETC","REPLAY MOTELARIA HOTEIS, POUSADAS, ETC",0,Hotel
