Unnamed: 0,COD_ESTABELECIMENTO,COD_MCC,NOME_ESTABELECIMENTO,CIDADE_ESTABELECIMENTO,TRANSACAO_COM_CHIP,BANDEIRA,MOEDA,FREQ_TRANSACAO,CATEGORIA,COD_CATEGORIA,COD_COMPUTADOR
1874595,1094847910,5977,SEPHORA 634,SPRINGFIELD,S,1,146,1.0,Cosmeticos,4,4
397702,24929325,5977,JOSI COSMETICOS,CANOINHAS,N,3,177,6.0,Cosmeticos,4,4
1728012,24156418,5977,DAI HAIMIN PERFUMARIA,SOROCABA,S,2,177,1.0,Cosmeticos,4,4
1456254,86767484,8999,PAGSEGUROUOL*BIJUEPERF,BALNEARIOCAMB,S,2,177,1.0,Cosmeticos,4,11
1511448,93534497,5691,PAG*ALINESTEFFANODEBR,CURITIBA,S,2,177,1.0,Cosmeticos,4,11
272047,1059356780,7230,SALAO PERFIUS,RIO BRANCO DO,N,3,177,11.0,Cosmeticos,4,10
1938324,1043408310,5977,A C P BELLE COSMETICOS,FLORIANOPOLIS,N,3,177,1.0,Cosmeticos,4,4
14730,55452531,5977,RAFIM COSMETICOS,CURITIBA,S,2,177,406.0,Cosmeticos,4,4
566375,74818,5411,KARST. PERFETTO 204,BERLIN,N,3,173,4.0,Cosmeticos,4,10
1511480,2005573,5977,LOCCITANE BERGEN 206,BERGEN,N,3,103,1.0,Cosmeticos,4,4
269524,1607125,5977,AM PERFUMES  COSMETICO,CURITIBA,S,2,177,11.0,Cosmeticos,4,4
1744157,74301756,5977,K100 COSMETICOS,BAURU,S,2,177,1.0,Cosmeticos,4,4
1226452,28002764013,5977,SEPHORA - MID VALLEY,KUALA LUMPUR,N,3,83,1.0,Cosmeticos,4,4
1130962,34107436,5977,SHEKINAH COM COSMETI,PARANAVAI,S,2,177,1.0,Cosmeticos,4,4
1168724,658008545,5411,MEHMET ADIGUZEL,ANTALYA,N,3,159,1.0,Cosmeticos,4,11
454837,4095675,5977,PIMENTA ROSA COSMETICO,UBERLANDIA,N,3,177,5.0,Cosmeticos,4,4
244217,8713469294,5977,CUTANNEA COSMETIC,CURITIBA,S,1,177,13.0,Cosmeticos,4,4
1456283,3018686,5977,PEFUMARIA BARREIROS FARI,LAGOS,N,3,173,1.0,Cosmeticos,4,10
1331127,31709700000000,5977,L OCCITANE      2439626,PARIS7500086/,N,3,173,1.0,Cosmeticos,4,4
1413015,1646474,5977,FRANQUIA HINODE JOINVI,JOINVILLE,N,2,177,1.0,Cosmeticos,4,4
1596849,27452762,5977,D M COMERCIO DE COSMET,PONTA GROSSA,N,3,177,1.0,Cosmeticos,4,11
584100,147531,5300,STUDIO SYMMETRY CONDIC,CURITIBA,S,2,177,4.0,Cosmeticos,4,11
963561,25479064,8398,INST.EDUC. DUQUE DE CA,PONTA GROSSA,S,2,177,2.0,Cosmeticos,4,11
1127362,94817698,5651,PAGSEGUROUOL*DOCESEDUC,PIRAQUARA,S,2,177,1.0,Cosmeticos,4,11
