CATEGORIA,CIDADE_ESTABELECIMENTO,COD_CATEGORIA,COD_ESTABELECIMENTO,COD_MCC,FREQ_TRANSACAO,MCC_CODE,MCC_DESCRIPTION,NOME_ESTABELECIMENTO,NOME_MCC,PREDICT,TRANSACAO_COM_CHIP,Unnamed: 0
,MUENCHEN,5,859147800991,5411.0,1.0,54110.0,SUPERMERCADOS,111 EDEKA MARKT MUENCH,111 EDEKA MARKT MUENCH SUPERMERCADOS,Supermercado,S,
,CORALVILLE,8,3141626606,5814.0,2.0,58140.0,FAST FOOD,1733 DOMINOS PIZZA 000001,1733 DOMINOS PIZZA 000001 FAST FOOD,Fast Food,N,
,ITABORAI,8,8737588426,5812.0,1.0,58120.0,RESTAURANTES,262 BURGUER ARTESANAL,262 BURGUER ARTESANAL RESTAURANTES,Supermercado,S,
,BERLIN,7,859147609955,5812.0,1.0,58120.0,RESTAURANTES,3 MINUTES SUR MER,3 MINUTES SUR MER RESTAURANTES,Fast Food,S,
,RECIFE,8,988425,5462.0,88.0,54620.0,PADARIAS,3692 SUBWAY,3692 SUBWAY PADARIAS,Supermercado,S,
,BAGE,8,1039255342,5411.0,2.0,54110.0,SUPERMERCADOS,382 BIG BAGE,382 BIG BAGE SUPERMERCADOS,Supermercado,S,
,BRASILIA,8,177963423000000,5814.0,2.0,58140.0,FAST FOOD,389 BURGUER,389 BURGUER FAST FOOD,Fast Food,S,
,BRASILIA,8,1456581,5814.0,21.0,58140.0,FAST FOOD,4385 GRSA SUBWAY BSB,4385 GRSA SUBWAY BSB FAST FOOD,Supermercado,S,
,HOCKESSIN,8,2070569991,5814.0,2.0,58140.0,FAST FOOD,5GUYS 0031 QSR 000000031,5GUYS 0031 QSR 000000031 FAST FOOD,Fast Food,S,
,HOUSTON,8,4445014126383,5814.0,1.0,58140.0,FAST FOOD,5GUYS 1025 QSR,5GUYS 1025 QSR FAST FOOD,Fast Food,S,
,ST  LOUIS,8,4445014127407,5814.0,1.0,58140.0,FAST FOOD,5GUYS 1475 LINDELL,5GUYS 1475 LINDELL FAST FOOD,Supermercado,S,
,SAN DIEGO,8,4445014125625,5814.0,2.0,58140.0,FAST FOOD,5GUYS 547 PACIFIC BEACH,5GUYS 547 PACIFIC BEACH FAST FOOD,Supermercado,S,
,STAVANGER,8,580757,5812.0,3.0,58120.0,RESTAURANTES,6115 STARBUCKS,6115 STARBUCKS RESTAURANTES,Supermercado,S,
,941-907-6667,8,4445011991224,5814.0,1.0,58140.0,FAST FOOD,6202 DOMINOS PIZZA,6202 DOMINOS PIZZA FAST FOOD,Fast Food,N,
,JAMAICA,8,1318267689,5811.0,1.0,58110.0,FORNECEDORES,6356175 - DUNKIN DONUTS C,6356175 - DUNKIN DONUTS C FORNECEDORES,Supermercado,S,
,SAO PAULO,8,8734270044,5411.0,1.0,54110.0,SUPERMERCADOS,6845 - GRSA SUBWAY,6845 - GRSA SUBWAY SUPERMERCADOS,Supermercado,S,
,LOS ANGELES,8,1040006645,5814.0,1.0,58140.0,FAST FOOD,7809 DOMINOS PIZZA 000007,7809 DOMINOS PIZZA 000007 FAST FOOD,Fast Food,N,
,RIVERSIDE,8,1041547514,5814.0,2.0,58140.0,FAST FOOD,7850 DOMINOS PIZZA 000007,7850 DOMINOS PIZZA 000007 FAST FOOD,Supermercado,N,
,RIO DE JANEIR,8,998634597000000,7991.0,11.0,79910.0,EXPOSICOES E ATRACOES TURISTICAS,99 BURGUER,99 BURGUER EXPOSICOES E ATRACOES TURISTICAS,Fast Food,N,
,RIO BONITO,10,8496515750,5422.0,1.0,54220.0,COMIDAS CONGELADAS,ABATEDOURO GRANDE RIO,ABATEDOURO GRANDE RIO COMIDAS CONGELADAS,Supermercado,S,
, ,10,500450594,3048.0,2.0,30480.0,ROYAL AIR MOROC,AIRMARO 1479567527,AIRMARO 1479567527 ROYAL AIR MOROC,Supermercado,N,
,ORLANDO,5,624602002488T1,5411.0,2.0,54110.0,SUPERMERCADOS,ALDI 74024,ALDI 74024 SUPERMERCADOS,Supermercado,N,
,LAGES,8,8730368958,5812.0,5.0,58120.0,RESTAURANTES,ALL BURGUER,ALL BURGUER RESTAURANTES,Supermercado,S,
,LAURO DE FREI,9,864159824000000,7997.0,1.0,79970.0,CLUBES / ATLETISMO - SOCIOS,ALPHA FIT BURAQ DCC,ALPHA FIT BURAQ DCC CLUBES / ATLETISMO - SOCIOS,Fast Food,N,
,SAN JOSE,5,66870120,5411.0,1.0,54110.0,SUPERMERCADOS,AM PM DON BOSCO,AM PM DON BOSCO SUPERMERCADOS,Supermercado,N,
,SANTA MONICA,10,232473801819901,7832.0,1.0,78320.0,TEATRO,AMC BROADWAY 4 #2417,AMC BROADWAY 4 #2417 TEATRO,Fast Food,N,
,RIO DE JANEIR,10,8547005769,7512.0,1.0,75120.0,LOCADORAS DE VEICULOS,ARCANJO LOCADOURA DE V,ARCANJO LOCADOURA DE V LOCADORAS DE VEICULOS,Supermercado,S,
,RECIFE,8,53254589,5814.0,1.0,58140.0,FAST FOOD,ATLANTICO FAST,ATLANTICO FAST FAST FOOD,Supermercado,S,
,RIO DE JANEIR,8,8677226714,5813.0,4.0,58130.0,"BARES, LANCHONETES, BOATES, CLUBES NOTURNOS",ATY BURGUER LANCHONETE LT,"ATY BURGUER LANCHONETE LT BARES, LANCHONETES, BOATES, CLUBES NOTURNOS",Fast Food,S,
,MOSCOW,5,991000001137,5411.0,16.0,54110.0,SUPERMERCADOS,AV AZBUKAVKUSA,AV AZBUKAVKUSA SUPERMERCADOS,Supermercado,S,
,AVIGNON,5,9492905344,5411.0,4.0,54110.0,SUPERMERCADOS,AVIGNON REPUBLIQUE AVIGNO,AVIGNON REPUBLIQUE AVIGNO SUPERMERCADOS,Supermercado,S,
,SAO PAULO,8,9918180266,5812.0,1.0,58120.0,RESTAURANTES,B 4 BAR,B 4 BAR RESTAURANTES,Fast Food,S,
,SEOUL,8,942926460,5812.0,1.0,58120.0,RESTAURANTES,B B Q CHICKEN SHO 292,B B Q CHICKEN SHO 292 RESTAURANTES,Supermercado,N,
,SAO LOURENCO,8,8547096529,5411.0,1.0,54110.0,SUPERMERCADOS,B302 HTD SAO LOURENCO,B302 HTD SAO LOURENCO SUPERMERCADOS,Fast Food,S,
,TERESINA,5,33329249,5411.0,26.0,54110.0,SUPERMERCADOS,B314-HIPER BOMPRECO (T,B314-HIPER BOMPRECO (T SUPERMERCADOS,Supermercado,S,
,CARUARU,5,9913310488,5411.0,3.0,54110.0,SUPERMERCADOS,B339 HIPER BOMPRECO,B339 HIPER BOMPRECO SUPERMERCADOS,Supermercado,S,
,RIO DE JANEIR,10,9355634,5661.0,5.0,56610.0,LOJAS DE SAPATOS,BAD KID BARRA SHOPPING,BAD KID BARRA SHOPPING LOJAS DE SAPATOS,Supermercado,S,
,SAO PAULO,5,369247271000000,5499.0,1.0,54990.0,ACOUGUE MERC FRUTOS DO MAR ALIM VA,BALCAO 304,BALCAO 304 ACOUGUE MERC FRUTOS DO MAR ALIM VA,Supermercado,S,
,RIO DE JANEIR,8,74349376,5812.0,22.0,58120.0,RESTAURANTES,BANDANA S DOG BURGUER,BANDANA S DOG BURGUER RESTAURANTES,Supermercado,N,
,ITIUBA,5,53422813,5999.0,1.0,59990.0,FOGOS DE ARTIFICIO / DISTRIBUIDOR,BARBOSA,BARBOSA FOGOS DE ARTIFICIO / DISTRIBUIDOR,Supermercado,N,
,DALLAS,5,372053388883,5814.0,1.0,58140.0,FAST FOOD,BASKIN #352677 Q35,BASKIN #352677 Q35 FAST FOOD,Supermercado,N,
,GUARULHOS,8,1084193920,5812.0,1.0,58120.0,RESTAURANTES,BATATA MC CAIN - GRU,BATATA MC CAIN - GRU RESTAURANTES,Supermercado,N,
,BANBRIDGE NOR,8,13152777,5812.0,1.0,58120.0,RESTAURANTES,BBS BAKERS AND BARIST,BBS BAKERS AND BARIST RESTAURANTES,Supermercado,N,
,ST PAUL,8,53100020351524,5814.0,1.0,58140.0,FAST FOOD,BC STARBUCKS M20351524,BC STARBUCKS M20351524 FAST FOOD,Supermercado,N,
,BELO HORIZONT,8,100-7002262967,5814.0,2.0,58140.0,FAST FOOD,BEAGA BURGUER,BEAGA BURGUER FAST FOOD,Supermercado,S,
,MESQUITA,8,22911430,5814.0,96.0,58140.0,FAST FOOD,BEATS RIO,BEATS RIO FAST FOOD,Fast Food,S,
,RIO DE JANEIR,8,1051986815,5812.0,240.0,58120.0,RESTAURANTES,BECO DO HAMBURGUER,BECO DO HAMBURGUER RESTAURANTES,Fast Food,N,
,LAS VEGAS,8,5273544338,5812.0,4.0,58120.0,RESTAURANTES,BEL-F&B-STARBUCKS,BEL-F&B-STARBUCKS RESTAURANTES,Supermercado,S,
,RIO DE JANEIR,8,1054559128,5921.0,2.0,59210.0,BEBIDAS,BELLA BURGUER,BELLA BURGUER BEBIDAS,Supermercado,N,
,LIMA,8,101087025,5814.0,2.0,58140.0,FAST FOOD,BEMBOS BURGER GRILL,BEMBOS BURGER GRILL FAST FOOD,Fast Food,S,
,CAMPOS DO JOR,8,100-7003538183,5814.0,1.0,58140.0,FAST FOOD,BENTOS BURGUER,BENTOS BURGUER FAST FOOD,Supermercado,S,
,RIO DE JANEIR,8,61943967,5814.0,66.0,58140.0,FAST FOOD,BETO4S BURGUER,BETO4S BURGUER FAST FOOD,Supermercado,S,
,PORTO ALEGRE,5,1032777122,5812.0,2.0,58120.0,RESTAURANTES,BIER GARTEN,BIER GARTEN RESTAURANTES,Supermercado,S,
,CURITIBA,8,67093655,5499.0,1.0,54990.0,ACOUGUE MERC FRUTOS DO MAR ALIM VA,BIG BEAR BURG,BIG BEAR BURG ACOUGUE MERC FRUTOS DO MAR ALIM VA,Supermercado,S,
,NATAL,8,941911984000000,5814.0,1.0,58140.0,FAST FOOD,BIG BURGS DO JOAO,BIG BURGS DO JOAO FAST FOOD,Supermercado,N,
,RIO DE JANEIR,8,4347372,5814.0,18.0,58140.0,FAST FOOD,BIG BURGUE BACON,BIG BURGUE BACON FAST FOOD,Supermercado,N,
,RIO DE JANEIR,8,24605487,5814.0,3.0,58140.0,FAST FOOD,BIG BURGUER BACON,BIG BURGUER BACON FAST FOOD,Fast Food,N,
,RIO DE JANEIR,8,1656223,5814.0,94.0,58140.0,FAST FOOD,BIG BURGUER BACON,BIG BURGUER BACON FAST FOOD,Supermercado,S,
,NATAL,8,37101676,5814.0,1.0,58140.0,FAST FOOD,BIGS BUGS DO JOAO,BIGS BUGS DO JOAO FAST FOOD,Supermercado,S,
,SÃƒÆ’O PAULO,8,132715087000000,5499.0,1.0,54990.0,ACOUGUE MERC FRUTOS DO MAR ALIM VA,BIKE BURGUER,BIKE BURGUER ACOUGUE MERC FRUTOS DO MAR ALIM VA,Supermercado,N,
,BARRETOS,8,1045522225,5814.0,19.0,58140.0,FAST FOOD,BK NORTH SHOP BARRETOS,BK NORTH SHOP BARRETOS FAST FOOD,Supermercado,S,
,RIO DE JANEIR,8,72875500,5814.0,509.0,58140.0,FAST FOOD,BK RIO 2 BAR E LANCHE,BK RIO 2 BAR E LANCHE FAST FOOD,Supermercado,S,
,VARGINHA,8,8719390023,5814.0,4.0,58140.0,FAST FOOD,BK VIA GARDEN CAFE II,BK VIA GARDEN CAFE II FAST FOOD,Supermercado,S,
,LANDSBERG,8,9501922769,5541.0,1.0,55410.0,POSTOS DE GASOLINA,BK-TANKSTELLE,BK-TANKSTELLE POSTOS DE GASOLINA,Fast Food,S,
,PARACATU,8,757121009000000,5814.0,1.0,58140.0,FAST FOOD,BOB BURGUER,BOB BURGUER FAST FOOD,Supermercado,S,
,RIBEIRAO PRET,8,1048433568,5813.0,3.0,58130.0,"BARES, LANCHONETES, BOATES, CLUBES NOTURNOS",BOB BURGUERS,"BOB BURGUERS BARES, LANCHONETES, BOATES, CLUBES NOTURNOS",Supermercado,S,
,SAO PAULO,8,9079336863,5812.0,4.0,58120.0,RESTAURANTES,BOB S AV PAULISTA,BOB S AV PAULISTA RESTAURANTES,Supermercado,S,
,NOVA IGUACU,8,8536762198,5814.0,12.0,58140.0,FAST FOOD,BOB S BURGUER,BOB S BURGUER FAST FOOD,Supermercado,S,
,NOVA IGUACU,8,8716863568,5814.0,24.0,58140.0,FAST FOOD,BOB S BURGUER,BOB S BURGUER FAST FOOD,Fast Food,S,
,NOVA IGUACU,8,1068381466,5814.0,6.0,58140.0,FAST FOOD,BOB S BURGUER,BOB S BURGUER FAST FOOD,Supermercado,N,
,RIO DE JANEIR,8,13226754,5814.0,10.0,58140.0,FAST FOOD,BOB S CGP,BOB S CGP FAST FOOD,Supermercado,S,
,RIO DE JANEIR,8,13226754,5814.0,1.0,58140.0,FAST FOOD,BOB S CGP,BOB S CGP FAST FOOD,Supermercado,N,
,GOIANIA,8,1033204401,5814.0,23.0,58140.0,FAST FOOD,BOB S DRIVE THRU,BOB S DRIVE THRU FAST FOOD,Supermercado,S,
,SAO GONCALO,8,9064625536,5814.0,3.0,58140.0,FAST FOOD,BOB S GUANABARA,BOB S GUANABARA FAST FOOD,Supermercado,S,
